ebay_id,ebay_title,price,keeper_score
v1|800321979068|0,"The Smiths That Joke 7"" ORIGINAL UK Rough Trade Post Punk Morrissey Cure Oasis",15.50,0.9953
v1|358788160326|0,Herbie Hancock Inventions and Dimensios Blue Note 4147 MONO NY USA RVG EAR 1st,28.00,0.9879
v1|227425484714|0,"Charles Mingus - Mingus Ah Um, 1959 CS 8171 DG Vinyl LP Record NM",29.00,0.9831
v1|236930294018|0,"MILES DAVIS - Bitches Brew LP VG+ OG US Pressing on COLUMBIA w/""2 Eye"" Labels",35.00,0.9824
v1|117280811823|0,JOHN COLTRANE - SUN SHIP - IMPULSE           RARE  Club Edition  Excellent !!!,9.99,0.9820
v1|257618699617|0,FREDDIE HUBBARD The Cookers Vol II LP Blue Note 4208 NYC RVG Mono @ Lee Morgan ,119.99,0.9807
v1|298497065412|0,Brian Eno 1978 Discreet Music Obscure OBS 3 UK,75.00,0.9780
v1|318534141485|0,The Chi-Lites / The Romanceers - s/t - US LP 1972,4.99,0.9762
v1|178299109058|0,John Coltrane Orange impulse,85.00,0.9760
v1|188624127962|0,John Coltrane Orange impulse,80.00,0.9760
v1|800298062205|0,Kenny Barron LP Peruvian Blue Muse MR 5044 OG 1st 1974 Spiritual Jazz     EX,75.00,0.9743
v1|366533545290|0,John Coltrane The Last Trane Lp In Shrink Prestige 7378 Donald Byrd red Garl Nm-,49.99,0.9716
v1|117295731880|0,KYLESA / MEMENTO MORI split Clear vinyl,10.00,0.9706
v1|257618697211|0,SONNY ROLLINS Jazz Classics Prestige LP 7433 1967 Stereo Monk Dorham Blakey ,39.99,0.9696
v1|800287664712|0,CHARLES EARLAND CHARLES 3 LP ORIG  1973 PRESTIGE      Lee Morgan,5.99,0.9672
v1|158074116650|0,"SUN CITY GIRLS 7"" UNCLE JIM 530 OF 750 RARE EXPERIMENTAL PSYCH NOISE AVANTGARDE",19.00,0.9639
v1|278172064582|0,The Velvet Underground & Nico Verve V6-5008 Yellow Vinyl Stereo LP,17.50,0.9629
v1|287452745343|0,"12"" VERY RARE LP THE JAZZ EXPEREMENT BY CHARLES MINGUS (1958) JAZZTONE J 1271",9.99,0.9602
v1|257616505004|0,Miles Davis  Volume 2 2024 Blue Note Classic mono reissue,15.99,0.9590
v1|358788028013|0,Eddie Lockjaw Davis Shirley Scott Bacalao Prestige 7178 MONO OG RVG fireworks,9.99,0.9573
v1|137501426046|0,SPK - Oceania  LP ORIG NORMAL Industrial Synth Pop Throbbing Gristle Psychic TV,9.99,0.9566
v1|117284013158|0,2002 MILES DAVIS Young Man With A Horn 10” LP  Blue Note   EXCELLENT,10.50,0.9556
v1|298497246415|0,Skid Roper - Lydias Cafe US LP 1991 ,30.00,0.9535
v1|366535437839|0,Kate Bush Lionheart Lp gatef  Nm Canadian import,24.99,0.9530
v1|188624127411|0,John Coltrane Impulse Van Gelder,60.00,0.9528
v1|117291977690|0,"Wayne Shorter - JuJu - w/ Tyner, Elvin - Vintage 1980s Blue Note   EXCELLENT",29.99,0.9525
v1|366535448864|0,Donald Byrd  Street Lady Lp Gatefold Blue Note soul jazz Nm,34.99,0.9492
v1|227425837187|0,Life ~ Life After Death UK Polydor Records LP RARE - Prog/Psych  NM,74.99,0.9480
v1|267725984106|0,THELONIOUS MONK Volume 1 Blue Note LP Mono Import Art Blakey Milt Jackson ,29.99,0.9468
v1|327256283138|0,Bill Evans ~ New Jazz Conceptions ~ Vinyl Mono Riverside LP.,19.00,0.9460
v1|366535447511|0,Kate Bush The Sensual World Lp 1989  Nm,34.99,0.9367
v1|307054866922|0,Monk Thelonious Underground (Vinyl) (UK IMPORT) Music On Vinyl NEAR MINT!,40.99,0.9360
v1|236930300122|0,Cecil Taylor - The Great Concert Of Cecil Taylor US 3LP 1977 vg++ US OG Jazz box,12.00,0.9360
v1|318534111052|0,The Chi-Lites – The Fantastic Chi-Lites - US LP 1977,4.99,0.9347
v1|117295230574|0,Smashing Pumpkins Toronto Broadcast Vinyl Rare VG+ ,39.00,0.9343
v1|168528427139|0,"SUN CITY GIRLS 7"" Borungku Si Derita 1993 EXPERIMENTAL PSYCH NOISE AVANTGARDE",39.00,0.9306
v1|168528091643|0,"Donald Byrd, A New Perspective, 84124 Stereo, Ear, VG/VG+ 1964 RVG",50.00,0.9264
v1|287451560629|0,The Chi-Lites and The Romanceers Vinyl,2.00,0.9253
v1|318572790143|0,Rare Private Press Toya 1972 Psych Country Folk Morninglory - Growing TSTLP 2001,30.00,0.9246
v1|117284567524|0,Bill Dixon Cecil Taylor LP  PROMO only 600 pressed        NM  Very Rare,149.99,0.9244
v1|298486140497|0,1st Press NEW ORDER-1981-1982~ORIG. 1982 Factus 8 LP Record~Joy Division~EX/VG+,39.99,0.9207
v1|257616581746|0,Wayne Shorter Super Nova 1977 Blue Note Japan stereo reissue,29.99,0.9204
v1|117291964550|0,Don Cherry - Complete Communion LP - Blue Note - PATHE    Excellent,11.00,0.9187
v1|800242662846|0,MCCOY TYNER EXPANSIONS BLUE NOTE BST84338 US VINYL LP  EXCELLENT,9.99,0.9179
v1|398161679926|0,"RARE BIRD ""BORN AGAIN"""" orig Polydor PD 6506 NEAR MINT vintage vinyl prog LP",2.99,0.9169
v1|407063689654|0,"Bradford Marsalis ""Random Abstract"" Vinyl LP 1988 Contemporary Jazz/Free Jazz OG",3.99,0.9165
v1|318552237977|0,"Bush Chemists & Chazbo Conscious Sounds Reggae 10"" Vinyl Record",22.99,0.9160
v1|336682723731|0,Dexter Gordon - The Other Side Of Round Midnight Vinyl LP - Blue Note BTC-85135,12.99,0.9116
v1|188626691200|0,Gene Harris High-Boom Rare soul funk promo 45 Blue Note,4.99,0.9115
v1|366535444067|0,Kate Bush Never For Ever Lp gatef  Nm Canadian import,29.99,0.9114
v1|800330347044|0,Amos Key - First Key 1974 LP original German press Spiegelei krautrock,79.99,0.9101
v1|127968342357|0,Tackhead Friendly As A Hand Grenade 1989 TVT Records Rock Industrial LP,9.99,0.9077
v1|137502794488|0,"DAMIEN JURADO - WHAT'S NEW, TOMBOY? USED CLEAR VINYL",13.99,0.9045
v1|227425826013|0,"TORI AMOS ""Under The Pink"" US ORIGINAL 1994 Pink Vinyl LP SEALED Hype Atlantic",59.99,0.9043
v1|257616521857|0,Miles Davis and the Modern Jazz Giants Prestige 2015 mono reissue,16.99,0.9001
v1|127968334589|0,Traffic - Mr. Fantasy - EX/VG+ 1980 RE Prog Psych Rock Island 90060-1 GF ,10.50,0.9001
v1|137502446438|0,Tanz Ohne Musik – Infinity LP Industrial Noise Galakthorro Haus Arafna,29.99,0.9000
