ebay_id,ebay_title,price,tfidf_score
v1|298474444844|0,Tommy Flanagan on Prestige 7134.,1775.00,0.5125
v1|298485055211|0,The Verve A Storm In Heaven 3xLP Vinyl - Super Rare Demos Black Vinyl Gatefold,100.00,0.2699
v1|178288454687|0,Woo500 ARICA: Audition Plantar LP Vinyl Stereo 1972 ARICA AJ-1001-1/2,11.50,0.7112
v1|188608264646|0,Further Seems Forever - Moon Is Down OG Vinyl Emo **See Description** Dashboard,59.99,0.3743
v1|227425947179|0,MAX ROACH QUINTET PARISIAN SKETCHES OG MERCURY DG LP STANLEY TURRENTINE NM ,9.99,0.4023
v1|336675192991|0,"Whitney Houston Whitney Arista 12"" Black Vinyl LP 33 RPM AL8-8212 Inner",1.40,0.3271
v1|318548478460|0,Manfred Mann  Pretty Flamingo  Original Rare 1966 UA Pop Rock Mono Lp,6.99,0.2920
v1|227425104037|0,MAL WALDRON MAL-1 PRESTIGE OG DG LP 7090 446 W 50TH GIGI GRYCE IDREES SULIEMAN,9.99,0.7459
v1|127960585534|0,"Vieuxtemps: Concerto #5, Heifetz, Sargent/New Symphony, RCA LSC-2603, 1962, VG",1.99,0.3189
v1|158061521564|0,Pat Ament Songs By Pat Ament 1971 Signet Vinyl LP 33RPM Private Press VG/VG+,99.99,0.4050
v1|227425947020|0,LUISITO MARTI CON EL COMBO DE JOHNNY VENTURA OG 1ST + SIGNED MARTI & VENTURA LP,15.50,0.4051
v1|318508181452|0,Orpheus – Ascending - US Classic-/Psychedelic-/Pop Rock LP 1968,6.50,0.3372
v1|287440917970|0,SLY & THE FAMILY STONE There's A Riot Goin' On 1971 LP EPIC KE 30986 GATEFOLD,2.00,0.2838
v1|327248836234|0,Joe Bravo Sunglow records,20.00,0.5981
v1|327249259940|0,LEE DRESSER & THE KRAZY KATS LP MOVIN' OUT!! SCARCE ROBIN LABEL 1965 ORIGINAL!!!,19.99,0.3165
v1|227425104851|0,BILLIE HOLIDAY THE UNFORGETTABLE LADY DAY OG VERVE DG CLEF SERIES 2 LP SET NM,9.99,0.3935
v1|366525914932|0,FOREIGNER 'Foreigner Records' LP,5.95,0.0000
v1|318508185004|0,"The Toys Sing ""A Lover's Concerto"" And ""Attack"" - US Mono press LP 1966",4.99,0.2489
v1|127961161664|0,"JACKIE DE SHANNON  ""You Won't Forget Me"" '64 Imperial LP POP  WHITE LABEL PROMO",10.00,0.2680
v1|407053190311|0,"Japanese Breakfast Jubilee 12"" Vinyl LP Colored Vinyl",10.00,0.4100
v1|800295786601|0,Private Spiritual Jazz LP-Haki R Madhubuti-Rise Vision Comin- VG,99.99,0.2550
v1|298485519688|0,Eric Weber ‎– Picking Up Girls Made Easy VINYL LP  1975 (VINYL EX/ COVER EX),29.99,0.2478
v1|127959563118|0,"Trio Hermanos Huerta - Alegria Huasteca LP 70s VG Vinyl 12"" Mexican Folk Latin",0.99,0.2342
v1|336675176351|0,"Whitney Houston Whitney Houston Arista 12"" Black Vinyl LP 33 RPM AL8-8212",0.70,0.4139
v1|358780230174|0,"Beyonce Self Titled, Lemonade, Countdown Vinyl Lot",100.00,0.4867
v1|327234990441|0,EAGLES - EAGLES - CLASSIC ROCK - REISSUE - (AR) - VG++ VINYL,5.99,0.8160
v1|206398419293|0,Welcome to The Plague Year Self Titled Vinyl LP Electric Human Project jffb Used,66.66,0.2752
v1|800299949046|0,"Bon Jovi Greatest Hits UMe 12"" LP Colored Vinyl Gold/Black Rock Record",12.50,0.3207
v1|227418560065|0,Ktel Stars 1977,3.00,0.5614
v1|307046112552|0,Men Without Hats' debut album Rhythm of Youth LP~Vinyl-VG+,1.00,0.2319
v1|336675386868|0,“George Jones Sings 14 Top Country Songs” ORIGINAL 1957  MICROGROOVE LP,19.99,0.2915
v1|227425104195|0,HOWLIN' WOLF MOANIN' IN THE MOONLIGHT OG CHESS BLUES LP 2ND PRESSING 1959 VG+,9.99,0.2458
v1|236919581841|0,Vinyl Record Lot. 5 Lp,25.00,0.0000
