ebay_id,ebay_title,price,keeper_score
v1|117311369297|0,ART BLAKEY Moanin' LP BLUE NOTE BLP 4003 US '59 DG MONO Lee Morgan 2nd Press,50.00,0.9965
v1|188667382067|0,"(EX) NICO ""The End"" 1st US Press 1974 Vinyl LP Island (Velvet Underground)",34.95,0.9897
v1|267733142440|0,PHAROAH SANDERS Karma LP IMPULSE! AS-9181 US 1970 Lonnie Liston Smith JAZZ VG+,158.99,0.9864
v1|267733151901|0,CLIFFORD BROWN Memorial Album LP BLUE NOTE BLP 1526 LEX EAR MONO FLAT Art Blakey,418.99,0.9838
v1|298518663306|0,"Miles Davis The New Sounds Prestige 75th Anniv Limited 10"" Vinyl LP CR00950",35.00,0.9827
v1|318608931944|0,PHAROAH SANDERS Black Unity LP IMPULSE! AS9219 US '72 Carlos Garnett Cecil McBee,84.99,0.9826
v1|188666472376|0,The Cure – Concert - The Cure Live / 1ST PRESS 1984 UK M/NM - RARE!,150.00,0.9813
v1|278200246719|0,THE MILES DAVIS QUINTET-MILES LP PRESTIGE RE PRLP 7014 BERGENFIELD DG RVG EX/NM!,274.85,0.9808
v1|158099803356|0,Lee Morgan – Cornbread LP Blue Note BST 84222 Liberty Press VG/VG+,99.99,0.9806
v1|147448429641|0,The Cure Japanese Whispers LP Vinyl Record 1st press 1983 post punk robert smith,40.00,0.9801
v1|188670888982|0,Miles Davis Cookin' Prestige PRLP 7094 Mono DG RVG,900.00,0.9795
v1|158099928780|0,Joe Henderson Inner Urge LP Blue Note BST 84189 UA Press VG+/VG Jazz McCoy Tyner,120.00,0.9783
v1|137532524441|0,"Charles Mingus: Mingus, Mingus RARE 1st Canada Mono Gatefold Vinyl LP Van Gelder",129.98,0.9781
v1|278200825844|0,CHARLES MINGUS OH YEAH LP ATLANTIC 1377 MONO RE BLACK FAN 1964 JAZZ VINYL KIRK!,36.00,0.9778
v1|318608966163|0,MCCOY TYNER Extensions LP BLUE NOTE BN-LA 006-F US '72 Alice Coltrane Gary Bartz,78.99,0.9778
v1|158099702633|0,Pharoah Sanders Black Unity LP Impulse AS-9219 Original 1972 Gatefold VG+/VG,200.00,0.9755
