ebay_id,title,price,current_bid,bid_count,url,end_date
v1|317370505000|0,13th Floor Elevators - The Psychedelic Sounds Of LP - IA OG Press Stereo Shrink,,185.00,19,https://www.ebay.com/itm/317370505000?_skw=lp&hash=item49e4c19728:g:J6cAAeSws2Fo4Sg8,2025-10-12T16:01:00.000Z
v1|267427478529|0,"WEIRD FUN 1980'S 12X VINYL LP LOT ZZ TOP, HUEY LEWIS GO-GO'S SPRINGSTEEN LIONEL",,39.95,0,https://www.ebay.com/itm/267427478529?_skw=lp&hash=item3e43eb7c01:g:O6AAAeSwenJo4w4d,2025-10-13T00:32:35.000Z
v1|389050035418|0,Howlin' Wolf - S/T LP - Chess OG Press Black Label Mono,,112.50,11,https://www.ebay.com/itm/389050035418?_skw=lp&hash=item5a95306cda:g:HZEAAeSwKe1o4SaO,2025-10-12T21:04:00.000Z
v1|197751904163|0,"LOT of 17 Record Albums - 1980's Rock/Pop  Vinyl LP's - Van Halen, Journey, UB40",,57.00,14,https://www.ebay.com/itm/197751904163?_skw=lp&hash=item2e0aee97a3:g:zUYAAeSw79Jo479b,2025-10-13T13:28:54.000Z
v1|177466954815|0,A Christmas Gift For You From Philles Records PHLP 4005 1963 - Vinyl LP G+,,85.00,0,https://www.ebay.com/itm/177466954815?_skw=lp&hash=item2951dad43f:g:6QUAAeSwQq1o4vLD,2025-10-12T22:39:53.000Z
v1|317383734185|0,FELT BLUES ROCK KILLER PSYCH NASCO LABEL REISSUE IN SHRINK VINYL LP NM,,24.99,0,https://www.ebay.com/itm/317383734185?_skw=lp&hash=item49e58b73a9:g:4q4AAeSw5dxo5YF2,2025-10-12T21:09:18.000Z
v1|127414427394|0,Lot Of 4 Vintage Wasp Vinyl Records ( W.A.S.P. ) 1980s Metal VG-VG+,,71.00,7,https://www.ebay.com/itm/127414427394?_skw=lp&hash=item1daa7ddf02:g:2EMAAeSwySho4WhF,2025-10-12T17:51:09.000Z
v1|389056079832|0,JOE COCKER Mad Dogs & Englishmen WHITE LABEL PROMO Double LP 1970 A&M SP 6002,,28.00,0,https://www.ebay.com/itm/389056079832?_skw=lp&hash=item5a958ca7d8:g:9IcAAeSwzhZo4vPX,2025-10-12T22:42:18.000Z
v1|157369019453|0,JESUS & MARY CHAIN 4 Vinyl LP Lot APRIL SKIES Automatic DARKLANDS Psycho Candy,,152.00,13,https://www.ebay.com/itm/157369019453?_skw=lp&hash=item24a3ecac3d:g:qgwAAeSwgfNo4t5B,2025-10-13T01:12:01.000Z
v1|376600185774|0,"20 CT NEW WAVE LP, EP LOT w DEPECHE MODE, PRETENDERS, BANGLES, CULTURE CLUB more",,48.00,18,https://www.ebay.com/itm/376600185774?_skw=lp&hash=item57af1ecbae:g:dPsAAeSw5Dpo4woF,2025-10-13T00:16:57.000Z
v1|336217606482|0,Neil Young  Massey Hall 1971 Classic Records 2 LP 200 Gram QUIEX SV-P Vinyl 2008,,75.00,0,https://www.ebay.com/itm/336217606482?_skw=lp&hash=item4e48218952:g:M~0AAeSwHSho4XCk,2025-10-12T16:08:23.000Z
v1|227014623455|0,Tom Petty - Full Moon Fever LP - MCA Records MCA -6253 original inner sleeve,,6.99,1,https://www.ebay.com/itm/227014623455?_skw=lp&hash=item34db2040df:g:2nkAAeSwz89o5oHP,2025-10-13T15:24:44.000Z
v1|227004914126|0,"Vtg Lot of 4 Original Led Zepplin Vinyl LPS  II, III, Physical Graffiti & MORE",,33.00,2,https://www.ebay.com/itm/227004914126?_skw=lp&hash=item34da8c19ce:g:DaUAAeSwo1Bo3wLf,2025-10-12T23:49:19.000Z
v1|197750346134|0,Donny Hathaway/ Extensions Of A Man 1973 ATCO Records  Excellent Condition,,8.99,1,https://www.ebay.com/itm/197750346134?_skw=lp&hash=item2e0ad6d196:g:uSgAAeSw8E5o4t9P,2025-10-13T00:30:01.000Z
v1|257142293452|0,DEUTSCHE GRAMMOPHON DG 6X NM- VINYL LP LOT 6 CLASSICAL RECORDS SHIP FOR 1 NICE!,,14.95,0,https://www.ebay.com/itm/257142293452?_skw=lp&hash=item3bdee003cc:g:3U4AAeSwpoZo4vJE,2025-10-13T00:18:22.000Z
v1|297653930459|0,PFM (Premiata Forneria Marconi) Passpartu LP 1970s Prog Rock/Pop—Italian Press ,,24.99,1,https://www.ebay.com/itm/297653930459?_skw=lp&hash=item454d8e89db:g:JAEAAeSwPJ5o1rAd,2025-10-12T21:26:20.000Z
v1|127414342488|0,Cowboy 5’ll Getcha Ten 1971 VG Country Rock LP Capricorn,,8.00,0,https://www.ebay.com/itm/127414342488?_skw=lp&hash=item1daa7c9358:g:Eg8AAeSwyI1o0vGG,2025-10-12T16:26:24.000Z
v1|326807920750|0,"18 Depesche Mode,Duran,Frankie,RedFlag, Book Love Mixed Vinyl Lot!UK, Jap Press",,150.00,1,https://www.ebay.com/itm/326807920750?_skw=lp&hash=item4c1745206e:g:YD4AAeSwzTtop4VF,2025-10-13T03:12:06.000Z
v1|205767016460|0,Rush Presto 1989 Vinyl Lp,,19.99,0,https://www.ebay.com/itm/205767016460?_skw=lp&hash=item2fe8ab800c:g:KBYAAeSw0lVo4wks,2025-10-13T00:15:05.000Z
v1|127414811483|0,Lot of 27 Classic Rock LP 1970s Record Albums Doors Queen Who Eagles Foreigner,,61.00,19,https://www.ebay.com/itm/127414811483?_skw=lp&hash=item1daa83bb5b:g:X6EAAeSwKJ5o4wLa,2025-10-13T01:00:01.000Z
v1|257145629166|0,Lot of 50 Vintage Vinyl Records 60’s 70’s Classic Rock Pop Soul Doors Hendrix,,55.00,3,https://www.ebay.com/itm/257145629166?_skw=lp&hash=item3bdf12e9ee:g:-poAAeSwhx1o5Zxp,2025-10-12T23:10:30.000Z
v1|187622620349|0,COWBOY BEBOP: The Real Folk Blues Legends 2LP Set GREY Vinyl M,,19.99,0,https://www.ebay.com/itm/187622620349?_skw=lp&hash=item2baf2dfcbd:g:vCkAAeSwEABo4U~E,2025-10-13T02:26:01.000Z
