Title,Price,DiscogsID,MaxPrice
JOHN COLTRANE COLTRANES SOUND SD 1419 SHRINK,33.00,4037208,45
"Rotary Connection - The Rotary Connection 1968 LP, Album, Mono, Promo  DJLP-312 ",26.74,8872224,30
Dead Kennedys In God We Trust Inc Vinyl 1981,21.00,1256458,25
PIERRE HENRY La Reine Verte Import LP,30.00,938121,35 
BUCKINGHAM NICKS - 1973 1st Press Polydor LP Gatefold Vinyl Record Album PD5058,39.99,1778025,50
CAL TJADER & EDDIE PALMIERI El Sonido Nuevo Verve Mono Promo LP VG+ Rare,49.99,17459947,50
Leonard Cohen Various Positions Vinyl Record CBS 26222,15.20,3882030,20
STEVE DAVIS Music LP RCA VICTOR LSP-4423 STEREO 1970 Jazz Funk GEORGE CLINTON,39.99,2387101,40
Fotheringay by Fotheringay,14.99,2105189,18
"MILES DAVIS ""Bitches Brew"" 1970 Columbia 2LP,14800+ feed/gatefold/VPI clean",26.50,37006,35
Antonio Carlos Jobim — Stone Flower Lp Vinyl Rexord  CTI 6002 RVG Green Label,38.99,676221,40
Labi Siffre – Crying Laughing Loving Lying Vinyl LP FIRST Australian Press 1972,44.99,15055504,52
Broadcast - Haha Sound Vinyl LP 2003 Warp Records 24.00,186545,48
GOSPEL DYNAMICS Sweet Gospel Music 1981 LP Sealed BLACK LABEL Records #BL3007,30.00,2516217,75
Wilburn Burchette – Opens The Seven Gates Of Transcendental Consciousness,145.00,2754185,125
Alice Coltrane ft Pharoah Sanders Ptah The El Daoud LP ImpulseABC AS9196 G2U,143.50,385862,120
BLACK MERDA s/t SOUL FUNK Psych ROCK CHESS ORIGINAL LP PROMO CH 1551 1970,199.99,945292,150

The Smiths The Queen Is Dead LP 1986 Sire US Press VG+ Vinyl,42.00,6880447,45
RAMONES SELF TITLED,VG+ SR-6020 LP VINYL RECORD,39.99,2649290,20
ENO Here Come the Warm Jets LP Art/Glam Rock – 1973 Editions EG Record EX,26.00,2062742,27
Cat Power - What Would The Community Think - 150g Vinyl LP - 1996,29.99,677427,24
"The JB’s  Food For Thought , Produced By James Brown , 1972",40.00,1937741,40
Sonny Rollins - East Broadway Run Down LP - Impulse! - AS-9121 RVG / Tested Hear,29.89,1061542,30
H.P. LOVECRAFT,1967 Self-Titled Vinyl LP VG+ Disc HD,24.00,1489562,25
